open_time,ticket,symbol,type,open_price,profit,stop_loss,take_profit,close_time,close_price,commission,swap,profit_total
2025.07.26 6:58:39,1209424376,BTCUSD,buy,0.01,117406.18,116706.18,118406.18,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 275.92
2025.07.26 6:58:49,1209424424,BTCUSD,buy,0.01,117405.47,116705.47,118405.47,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:58:59,1209424479,BTCUSD,buy,0.01,117405.81,116705.81,118405.81,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:59:09,1209424535,BTCUSD,buy,0.01,117405.74,116705.74,118405.74,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:59:19,1209424601,BTCUSD,buy,0.01,117406.49,116706.49,118406.49,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 275.92
2025.07.26 6:59:29,1209424653,BTCUSD,buy,0.01,117405.76,116705.79,118405.79,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:59:39,1209424718,BTCUSD,buy,0.01,117405.69,116705.69,118405.69,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:59:49,1209424794,BTCUSD,buy,0.01,117405.86,116705.86,118405.86,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:59:59,1209424855,BTCUSD,buy,0.01,117405.70,116705.70,118405.70,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:00:09,1209424911,BTCUSD,buy,0.01,117405.34,116705.34,118405.34,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:00:19,1209424996,BTCUSD,buy,0.01,117404.99,116704.99,118404.99,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:00:29,1209425055,BTCUSD,buy,0.01,117405.07,116705.07,118405.07,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:00:39,1209425121,BTCUSD,buy,0.01,117405.37,116705.37,118405.37,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:00:49,1209425184,BTCUSD,buy,0.01,117404.70,116704.70,118404.70,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:00:59,1209425235,BTCUSD,buy,0.01,117404.81,116704.81,118404.81,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:01:09,1209425297,BTCUSD,buy,0.01,117404.81,116704.81,118404.81,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:01:19,1209425354,BTCUSD,buy,0.01,117405.69,116705.69,118405.69,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:01:29,1209425421,BTCUSD,buy,0.01,117405.69,116705.69,118405.69,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:01:39,1209425471,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:01:49,1209425515,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:01:59,1209425567,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:02:09,1209425624,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:02:19,1209425696,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:02:29,1209425752,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:02:39,1209425812,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:02:49,1209425867,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:02:59,1209425927,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:03:09,1209425983,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:03:19,1209426038,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 7:03:29,1209426083,BTCUSD,buy,0.01,117405.90,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
